tweet,label
RT @FunSizedYogi: @TheBlackVoice well how else will white ppl get us to forget our horrific past other than to paint a pretty picture of ho&#8230;,"[0.7195841670036316, 0.2804158329963684]"
Funny thing is....it's not just the people doing it. It's the people who seeing these pics and judging the birds. Just as wrong.,"[0.9734202027320862, 0.02657979167997837]"
"RT @winkSOSA: ""@AintShitSweet__: ""@Rakwon_OGOD: Nigga messed with the wrong bitch &#128557;&#128514;https://t.co/5mNXKVAYot"" &#128557;&#128557;&#128557;&#128557;&#128514;&#128514;&#128557;&#128557;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;""@Th_Real_Esco","[0.27334457635879517, 0.7266554236412048]"
@Jbrendaro30 @ZGabrail @ramsin1995 @GabeEli8 @Jacob2times bitch ass nigggaaa,"[0.1251862794160843, 0.8748137354850769]"
S/o that real bitch,"[0.15654195845127106, 0.8434580564498901]"
@mia_coop speaking about me all the time tryna make me look bad like you wasn't just eating my pussy .,"[0.8814002871513367, 0.11859976500272751]"
Nah Mimi a bitch,"[0.17244301736354828, 0.8275569677352905]"
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started","[0.9480718374252319, 0.05192810669541359]"
@Worth_BILLions @MystroApollo &#128514;bitch you always hatin lmao,"[0.17140936851501465, 0.8285906910896301]"
"Why are nudes called nudes? I would rather be like "" hey girl send me the tits and ass hoe ""","[0.34741610288619995, 0.6525838971138]"
"RT @__VIIXXIV &#128514;

Me: Baby I cooked
Bae: What's for dinner?
Me: That bitch you been texting http://t.co/GwT19xIXUz","[0.7492293119430542, 0.2507706880569458]"
@AustinBurge44 pussy ass schedule,"[0.33411815762519836, 0.665881872177124]"
Stay home then bitch fuck u,"[0.16936224699020386, 0.8306377530097961]"
okay but how many people really care if you can see a girls nips through her shirt,"[0.7885627746582031, 0.2114371508359909]"
@TheREALJB1RD Now beaners drive em.,"[0.707350492477417, 0.2926495671272278]"
hahaha dumb bitch,"[0.15726085007190704, 0.8427391648292542]"
@just_priss I understand but stop venting on this bitch you give to much insight in to your life &amp; these people don't deserve that,"[0.4480139911174774, 0.5519859790802002]"
@kieffer_jason @sbsylvester @hunterbuch66 bitch keep talking,"[0.25905749201774597, 0.7409424781799316]"
RT @deecatanz: Lmao hoes now a days &#128514;&#128581;,"[0.2824699878692627, 0.7175300717353821]"
&#8220;@CommonBlackGirI: bitch that's ham on her face http://t.co/vSRAyShD5Y&#8221; @rachel_dority,"[0.2899535000324249, 0.7100465297698975]"
Lilly just tried to climb up a tree after a bird and completely failed oh my god &#128514;,"[0.9722064137458801, 0.027793655171990395]"
